datetime,load,consumer_id
2015-08-12,13.908,mm41865
2015-08-13,27.445,mm41865
2015-08-14,16.526,mm41865
2015-08-15,16.917,mm41865
2015-08-16,13.929,mm41865
2015-08-17,18.629,mm41865
2015-08-18,12.928,mm41865
2015-08-19,16.751,mm41865
2015-08-20,14.54,mm41865
2015-08-21,18.191,mm41865
2015-08-22,15.233,mm41865
2015-08-23,18.253,mm41865
2015-08-24,15.562,mm41865
2015-08-25,12.906,mm41865
2015-08-26,17.396,mm41865
2015-08-27,14.432,mm41865
2015-08-28,18.349,mm41865
2015-08-29,24.243,mm41865
2015-08-30,15.374,mm41865
2015-08-31,19.894,mm41865
2015-09-01,12.904,mm41865
2015-09-02,16.492,mm41865
2015-09-03,18.226,mm41865
2015-09-04,19.799,mm41865
2015-09-05,11.426,mm41865
2015-09-06,13.421,mm41865
2015-09-07,16.574,mm41865
2015-09-08,18.352,mm41865
2015-09-09,11.579,mm41865
2015-09-10,19.492,mm41865
2015-09-11,9.677,mm41865
2015-09-12,20.525,mm41865
2015-09-13,25.459,mm41865
2015-09-14,14.703,mm41865
2015-09-15,15.641,mm41865
2015-09-16,14.854,mm41865
2015-09-17,14.213,mm41865
2015-09-18,14.82,mm41865
2015-09-19,16.736,mm41865
2015-09-20,21.318,mm41865
2015-09-21,16.373,mm41865
2015-09-22,15.784,mm41865
2015-09-23,16.967,mm41865
2015-09-24,18.086,mm41865
2015-09-25,22.91,mm41865
2015-09-26,15.468,mm41865
2015-09-27,19.538,mm41865
2015-09-28,13.629,mm41865
2015-09-29,15.588,mm41865
2015-09-30,18.295,mm41865
2015-10-01,18.42,mm41865
2015-10-02,17.736,mm41865
2015-10-03,29.116,mm41865
2015-10-04,22.29,mm41865
2015-10-05,16.995,mm41865
2015-10-06,17.524,mm41865
2015-10-07,14.332,mm41865
2015-10-08,15.955,mm41865
2015-10-09,15.927,mm41865
2015-10-10,24.385,mm41865
2015-10-11,20.467,mm41865
2015-10-12,14.397,mm41865
2015-10-13,15.271,mm41865
2015-10-14,18.985,mm41865
2015-10-15,17.891,mm41865
2015-10-16,12.822,mm41865
2015-10-17,23.586,mm41865
2015-10-18,20.49,mm41865
2015-10-19,17.254,mm41865
2015-10-20,19.96,mm41865
2015-10-21,16.908,mm41865
2015-10-22,21.381,mm41865
2015-10-23,9.984,mm41865
2015-10-24,8.152,mm41865
2015-10-25,11.723,mm41865
2015-10-26,26.618,mm41865
2015-10-27,23.008,mm41865
2015-10-28,23.803,mm41865
2015-10-29,19.575,mm41865
2015-10-30,27.01,mm41865
2015-10-31,25.096,mm41865
2015-11-01,23.944,mm41865
2015-11-02,16.895,mm41865
2015-11-03,13.608,mm41865
2015-11-04,21.38,mm41865
2015-11-05,20.151,mm41865
2015-11-06,14.151,mm41865
2015-11-07,24.842,mm41865
2015-11-08,17.717,mm41865
2015-11-09,15.25,mm41865
2015-11-10,16.537,mm41865
2015-11-11,15.437,mm41865
2015-11-12,17.265,mm41865
2015-11-13,15.73,mm41865
2015-11-14,26.345,mm41865
2015-11-15,21.763,mm41865
2015-11-16,15.978,mm41865
2015-11-17,14.925,mm41865
2015-11-18,19.434,mm41865
2015-11-19,19.541,mm41865
2015-11-20,21.096,mm41865
2015-11-21,24.414,mm41865
2015-11-22,28.273,mm41865
2015-11-23,17.877,mm41865
2015-11-24,16.859,mm41865
2015-11-25,19.381,mm41865
2015-11-26,20.415,mm41865
2015-11-27,15.171,mm41865
2015-11-28,24.753,mm41865
2015-11-29,25.803,mm41865
2015-11-30,14.695,mm41865
2015-12-01,14.681,mm41865
2015-12-02,17.045,mm41865
2015-12-03,18.502,mm41865
2015-12-04,19.719,mm41865
2015-12-05,15.572,mm41865
2015-12-06,24.617,mm41865
2015-12-07,16.397,mm41865
2015-12-08,19.812,mm41865
2015-12-09,18.793,mm41865
2015-12-10,22.265,mm41865
2015-12-11,15.758,mm41865
2015-12-12,23.198,mm41865
2015-12-13,25.351,mm41865
2015-12-14,15.53,mm41865
2015-12-15,19.241,mm41865
2015-12-16,19.443,mm41865
2015-12-17,21.318,mm41865
2015-12-18,15.511,mm41865
2015-12-19,24.318,mm41865
2015-12-20,23.914,mm41865
2015-12-21,17.066,mm41865
2015-12-22,25.406,mm41865
2015-12-23,25.847,mm41865
2015-12-24,24.648,mm41865
2015-12-25,21.484,mm41865
2015-12-26,28.689,mm41865
2015-12-27,16.828,mm41865
2015-12-28,34.249,mm41865
2015-12-29,34.988,mm41865
2015-12-30,29.364,mm41865
2015-12-31,38.022,mm41865
2016-01-01,16.212,mm41865
2016-01-02,19.312,mm41865
2016-01-03,23.982,mm41865
2016-01-04,15.97,mm41865
2016-01-05,15.862,mm41865
2016-01-06,15.833,mm41865
2016-01-07,17.182,mm41865
2016-01-08,18.853,mm41865
2016-01-09,24.448,mm41865
2016-01-10,16.889,mm41865
2016-01-11,22.168,mm41865
2016-01-12,14.908,mm41865
2016-01-13,12.942,mm41865
2016-01-14,13.49,mm41865
2016-01-15,12.387,mm41865
2016-01-16,25.219,mm41865
2016-01-17,19.146,mm41865
2016-01-18,17.152,mm41865
2016-01-19,19.222,mm41865
2016-01-20,17.483,mm41865
2016-01-21,18.925,mm41865
2016-01-22,19.816,mm41865
2016-01-23,16.142,mm41865
2016-01-24,30.148,mm41865
2016-01-25,20.414,mm41865
2016-01-26,19.08,mm41865
2016-01-27,18.435,mm41865
2016-01-28,16.039,mm41865
2016-01-29,19.764,mm41865
2016-01-30,23.178,mm41865
2016-01-31,20.916,mm41865
2016-02-01,21.656,mm41865
2016-02-02,15.106,mm41865
2016-02-03,17.177,mm41865
2016-02-04,20.969,mm41865
2016-02-05,16.313,mm41865
2016-02-06,29.911,mm41865
2016-02-07,20.761,mm41865
2016-02-08,19.721,mm41865
2016-02-09,19.801,mm41865
2016-02-10,13.531,mm41865
2016-02-11,18.948,mm41865
2016-02-12,14.587,mm41865
2016-02-13,18.026,mm41865
2016-02-14,22.256,mm41865
2016-02-15,17.374,mm41865
2016-02-16,23.985,mm41865
2016-02-17,15.606,mm41865
2016-02-18,22.2,mm41865
2016-02-19,17.523,mm41865
2016-02-20,29.57,mm41865
2016-02-21,20.305,mm41865
2016-02-22,18.363,mm41865
2016-02-23,22.157,mm41865
2016-02-24,22.431,mm41865
2016-02-25,19.291,mm41865
2016-02-26,21.055,mm41865
2016-02-27,26.526,mm41865
2016-02-28,19.092,mm41865
2016-02-29,16.456,mm41865
2016-03-01,18.202,mm41865
